State,StateCode,CityCodeSmall,CityCode,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
RS,43,14787,4314787,Ponte Preta,"1,524",Sim,1,1,6,1
RS,43,14803,4314803,Portão,"37,561",Sim,10,5,25,6
RS,43,14902,4314902,Porto Alegre,"1,488,252",Sim,359,233,779,55
RS,43,15008,4315008,Porto Lucena,"4,594",Sim,2,2,14,2
RS,43,15057,4315057,Porto Mauá,"2,352",Sim,1,1,7,1
RS,43,15073,4315073,Porto Vera Cruz,"1,308",Sim,1,1,4,1
RS,43,15107,4315107,Porto Xavier,"10,194",Sim,7,4,26,3
RS,43,15131,4315131,Pouso Novo,"1,612",Sim,2,1,5,1
RS,43,15149,4315149,Presidente Lucena,"2,937",Sim,,,,
RS,43,15156,4315156,Progresso,"6,239",Sim,2,2,15,2
RS,43,15172,4315172,Protásio Alves,"1,938",Sim,3,1,5,1
RS,43,15206,4315206,Putinga,"3,889",Sim,2,2,11,3
RS,43,15305,4315305,Quaraí,"22,607",Sim,10,6,25,6
RS,43,15313,4315313,Quatro Irmãos,"1,856",Sim,2,3,6,3
RS,43,15321,4315321,Quevedos,"2,790",Sim,1,1,5,1
RS,43,15354,4315354,Quinze de Novembro,"3,803",Sim,1,1,8,1
RS,43,15404,4315404,Redentora,"11,669",Sim,4,4,19,4
RS,43,15453,4315453,Relvado,"2,079",Sim,1,1,5,1
RS,43,15503,4315503,Restinga Sêca,"15,744",Sim,4,2,7,2
RS,43,15552,4315552,Rio dos Índios,"2,660",Sim,2,2,12,1
RS,43,15602,4315602,Rio Grande,"211,965",Sim,61,48,156,14
RS,43,15701,4315701,Rio Pardo,"38,265",Sim,10,5,54,5
RS,43,15750,4315750,Riozinho,"4,676",Sim,2,2,11,2
RS,43,15800,4315800,Roca Sales,"11,471",Sim,2,2,9,2
RS,43,15909,4315909,Rodeio Bonito,"5,868",Sim,5,4,14,3
RS,43,15958,4315958,Rolador,"2,296",Sim,4,1,6,3
RS,43,16006,4316006,Rolante,"21,453",Sim,12,7,28,7
RS,43,16105,4316105,Ronda Alta,"10,617",Sim,10,5,5,6
RS,43,16204,4316204,Rondinha,"5,080",Sim,3,3,14,2
RS,43,16303,4316303,Roque Gonzales,"6,797",Sim,3,4,18,2
RS,43,16402,4316402,Rosário do Sul,"39,314",Sim,5,5,40,5
RS,43,16428,4316428,Sagrada Família,"2,605",Sim,6,2,6,2
RS,43,16436,4316436,Saldanha Marinho,"2,622",Sim,1,1,7,1
RS,43,16451,4316451,Salto do Jacuí,"12,481",Sim,7,4,20,4
RS,43,16477,4316477,Salvador das Missões,"2,733",Sim,1,1,7,1
RS,43,16501,4316501,Salvador do Sul,"7,889",Sim,5,2,13,2
RS,43,16600,4316600,Sananduva,"16,328",Sim,10,5,23,5
RS,43,16709,4316709,Santa Bárbara do Sul,"7,909",Sim,2,1,11,1
RS,43,16733,4316733,Santa Cecília do Sul,"1,634",Sim,2,2,2,4
RS,43,16758,4316758,Santa Clara do Sul,"6,681",Sim,2,2,14,2
RS,43,16808,4316808,Santa Cruz do Sul,"131,365",Sim,54,26,137,26
RS,43,16907,4316907,Santa Maria,"283,677",Sim,22,20,113,21
RS,43,16956,4316956,Santa Maria do Herval,"6,364",Sim,2,2,5,2
RS,43,16972,4316972,Santa Margarida do Sul,"2,578",Sim,2,1,6,1
RS,43,17004,4317004,Santana da Boa Vista,"8,067",Sim,4,2,11,2
